Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
200,x,,,,51,48,3,"5,275","1,684,607.41",628,75031.84,34,1048.5,0,0
800,x,,,,883,845,38,"338,966","46,499,115.39",209632,17891240.77,38461,4096145.82,45783,14398856.5
801,,,x,,1045,863,182,"7,810","1,094,249.56",35,4000.4,2482,95728.66,430,355691.25
804,,x,,,234,209,25,374,"30,345.89",149,20817.39,225,9528.5,0,0
810,,,x,,3451,3417,34,"401,215","30,582,234.31",349561,24272908.24,10683,219455.21,1147,312840.36
811,x,,,,340,321,19,"1,894","202,570.59",1572,179099.1,312,4149.2,0,0
812,x,,,,1813,1798,15,"163,445","16,681,956.94",134839,7834984.71,307,5129.54,5817,1301899.88
814,x,,,,135,129,6,132,"6,381.58",131,3166.58,0,0,0,0
820,,,x,,2650,2585,65,"122,498","10,805,895.87",74566,7182275.31,34182,1118954.31,1984,1505755.67
821,x,,,,314,273,41,278,"142,449.23",186,136667.52,88,2947.63,0,0
822,x,,,,289,283,6,849,"226,741.97",299,157831.54,228,3735.45,177,54109.87
828,x,,,,142,117,25,"16,009","6,377,945.85",9781,5483854.4,1257,82399.25,673,375730.71
830,x,,,,1138,1122,16,"177,251","11,929,141.39",145651,10123201.82,10834,274960.39,286,304484.86
831,x,,,,263,251,12,"6,058","785,463.37",1512,78893.74,0,0,1572,521566.4
832,,x,,,789,778,11,"19,386","1,243,562.16",19272,1241027.16,114,2535,0,0
834,,x,,,145,142,3,198,"36,420.14",130,30139.94,62,5591.6,0,0
835,x,,,,344,342,2,"7,521","358,662.71",1735,108040.74,4292,74480.69,0,0
836,x,,,,541,535,6,"54,151","3,994,914.80",51628,3738159.95,715,61224.97,0,0
837,x,,,,58,58,0,701,"40,019.60",239,11222.89,0,0,2,1190.16
838,,x,,,64,64,0,467,"32,184.69",3,5876,464,26308.69,0,0
845,x,,,,47,45,2,112,"9,251.97",3,260,59,2098.5,40,6233.5
847,,x,,,15,15,0,150,"9,535.87",54,3127.8,3,420,15,1126.96
850,x,,,,446,438,8,"57,717","4,728,852.67",40902,2819464.48,3002,52789.64,3276,1101473.02
851,x,,,,132,124,8,"2,569","454,367.37",873,73961.87,0,0,133,43719
852,x,,,,102,94,8,"2,111","184,318.25",548,44713.66,11,1966.4,936,84632.68
853,,x,,,15,15,0,32,"1,185.50",0,0,0,0,0,0
860,x,,,,189,186,3,"3,141","422,370.16",146,13860.17,68,3134.1,675,218445.4
861,x,,,,32,30,2,468,"51,314.21",0,0,0,0,121,16747.7
862,x,,,,20,20,0,835,"64,156.06",37,5060.38,0,0,0,0
870,,,x,,2046,2017,29,"252,467","21,664,390.01",203681,16279127.47,16775,877718.56,6471,1815206.35
871,,,x,,612,566,46,"12,517","2,381,366.26",1522,249335.94,224,3590.86,5242,1441906.75
872,x,,,,156,151,5,"40,942","11,315,306.85",10445,402171.08,6622,341320.97,17407,9628323.1
880,x,,,,655,654,1,"31,162","2,671,694.14",30421,2612727.52,0,0,0,0
881,x,,,,143,132,11,"3,170","485,290.40",27,5174.37,542,41302.16,181,100680.54
885,x,,,,128,86,42,"1,063","307,195.07",100,8101.82,381,21945.66,472,218509.29
886,x,,,,141,141,0,"8,225","1,194,715.97",2194,89393.58,0,0,4028,942774.45
1000,x,,,,41,15,26,"15,714","3,384,957.39",6072,324500.42,0,0,0,0
1006,x,,,,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1010,x,,,,59,58,1,62,"58,045.72",9,2088.55,0,0,0,0
1042,,x,,,18,5,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1111,x,,,,16,15,1,987,"103,493.39",987,103493.39,0,0,0,0
1131,x,,,,9,0,9,"5,292","2,951,464.54",0,40.97,0,0,0,0
1220,x,,,,328,192,136,62,"12,336.00",62,12336,0,0,0,0
1230,,,x,,1294,697,597,503,"133,232.00",0,0,0,0,0,0
